timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-01-25T00:01:43.795206+07:00,Hồ Chí Minh,69,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,14.8 km/h,75%
2025-01-25T01:01:58.121810+07:00,Hồ Chí Minh,68,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,11.1 km/h,75%
2025-01-25T02:01:51.607311+07:00,Hồ Chí Minh,66,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,11.1 km/h,75%
2025-01-25T03:01:52.136627+07:00,Hồ Chí Minh,64,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,78%
2025-01-25T04:01:46.576635+07:00,Hồ Chí Minh,63,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,80%
2025-01-25T05:01:56.507729+07:00,Hồ Chí Minh,63,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,77%
2025-01-25T06:01:49.611422+07:00,Hồ Chí Minh,66,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,11.1 km/h,79%
2025-01-25T07:04:30.874735+07:00,Hồ Chí Minh,69,/dl/web/weather/ic-w-01-clear-sky-full.svg,13.0 km/h,79%
2025-01-25T08:28:15.548189+07:00,Hồ Chí Minh,86,/dl/web/weather/ic-w-01-clear-sky-full.svg,7.4 km/h,74%
2025-01-25T09:17:42.658087+07:00,Hồ Chí Minh,82,/dl/web/weather/ic-w-01-clear-sky-full.svg,9.2 km/h,71%
2025-01-25T10:01:39.107892+07:00,Hồ Chí Minh,82,/dl/web/weather/ic-w-01-clear-sky-full.svg,9.2 km/h,71%
2025-01-25T11:01:53.338947+07:00,Hồ Chí Minh,87,/dl/web/weather/ic-w-01-clear-sky-full.svg,9.2 km/h,68%
2025-01-25T12:01:43.250295+07:00,Hồ Chí Minh,92,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.9 km/h,67%
2025-01-25T13:01:59.937676+07:00,Hồ Chí Minh,103,/dl/web/weather/ic-w-01-clear-sky-full.svg,7.4 km/h,58%
2025-01-25T14:01:52.909422+07:00,Hồ Chí Minh,122,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,5.5 km/h,60%
2025-01-25T15:01:56.734249+07:00,Hồ Chí Minh,137,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.4 km/h,62%
2025-01-25T16:01:54.107835+07:00,Hồ Chí Minh,106,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.4 km/h,66%
2025-01-25T17:01:32.666213+07:00,Hồ Chí Minh,84,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,66%
2025-01-25T18:01:46.257917+07:00,Hồ Chí Minh,71,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,67%
2025-01-25T19:01:50.508004+07:00,Hồ Chí Minh,62,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,14.8 km/h,68%
2025-01-25T20:03:30.104539+07:00,Hồ Chí Minh,63,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,13.0 km/h,69%
2025-01-25T21:01:37.714685+07:00,Hồ Chí Minh,68,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,11.1 km/h,69%
2025-01-25T22:01:39.169873+07:00,Hồ Chí Minh,69,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,69%
2025-01-25T23:01:40.361844+07:00,Hồ Chí Minh,69,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,65%
